,Dataset,Mask bounding box,Mask position,Mask size,Sample id,Image index,GT info,Masked info,Info loss %
0,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,0,55.41824284724812,29.264745058340882,47.192939445942635
1,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,1,35.59592945814907,25.03942671426288,29.656488549618317
2,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,2,49.31802440193937,30.07991901539773,39.00826446280992
3,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,3,44.223187170334064,29.00660663860621,34.40860215053764
4,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,4,28.327295007725503,19.088656827747883,32.61390887290167
5,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,5,52.94554851084234,27.512121050668657,48.03695150115473
6,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,6,39.78048910437423,29.78102189781022,25.136612021857918
7,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,7,31.696680696893814,12.730299962704459,59.83711958851266
8,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,8,38.23165858596622,34.83510043156269,8.884150675195446
9,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,9,35.18834247962065,22.78411209973893,35.25096525096526
10,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,10,27.933294261814694,24.862805690233895,10.99221789883269
11,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,11,68.48819862539294,62.795567158612606,8.311842888315816
12,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,12,30.460333528690928,30.460333528690928,-0.0
13,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,13,47.75560765091374,29.19681389525281,38.86201991465149
14,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,14,72.07496403644308,46.668709041504606,35.249764373232814
15,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,15,37.48441579199744,12.390644147264105,66.94454512504531
16,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,16,32.185785071127924,12.594437636528317,60.8695652173913
17,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,17,36.79151792849912,13.436784058820395,63.47858197932054
18,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,18,24.115562896265118,17.51265384410464,27.380281690140844
19,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,19,64.58894986413767,34.087857637593906,47.22339082877577
20,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,20,38.014278864084396,15.230166764345464,59.935668334524664
21,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,21,42.103734881986256,18.762587244925143,55.43723781865118
22,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,22,75.03676274708296,66.11060791731046,11.895708853883761
23,IRE_Random_15,IRE,Random,15,3b3a9f4e3aa9f2f4d39a194653571dfc,23,46.994778624327346,19.659278597687678,58.16710031801098
24,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,0,42.11732111460387,34.01992647450584,19.225806451612897
25,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,1,44.549256753156804,28.001225424902763,37.14547118023789
26,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,2,49.141403377910386,41.79125153178113,14.957146806745925
27,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,3,50.89402738558261,35.460067131972934,30.32568072610785
28,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,4,41.70973413607545,25.514944855879374,38.827361563517925
29,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,5,38.734349192817945,12.023815866588524,68.95826025955805
30,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,6,46.69588150673984,38.55772816878896,17.427989525749197
31,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,7,56.79045234162715,35.60951569076669,37.29665071770334
32,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,8,76.09648889125685,58.25776546432948,23.44224245670415
33,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,9,56.60024508498055,42.62001172145559,24.69995199231877
34,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,10,52.70099632372529,34.94379029250359,33.69425109564321
35,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,11,62.68687729767169,35.718205551707605,43.0212397052449
36,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,12,43.2993233523363,17.784378496456924,58.92689049262629
37,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,13,60.81197719644094,47.089882252650646,22.564789991063456
38,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,14,50.03809473067292,27.077361606905004,45.88650556611458
39,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,15,63.50205125472854,47.21215834620917,25.652545999144206
40,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,16,61.246736640204595,45.22856838403751,26.153504880212957
41,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,17,47.38877937023816,38.25883105120145,19.266055045871568
42,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,18,49.48105919335074,33.829719217859235,31.630971993410217
43,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,19,36.65565560232298,14.292716713730087,61.00815418828762
44,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,20,41.15269859875326,36.99531141776333,10.102344007923405
45,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,21,45.853535084447756,42.62001172145559,7.051851851851848
46,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,22,60.2957003569716,33.734615589535935,44.05137449301487
47,IRE_Random_15,IRE,Random,15,a691eee4545ce2fade94aad0562ac2e,23,39.10117747349353,30.202195108956257,22.75886031966644
48,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,0,49.372369332409825,36.95455271991049,25.151348376444695
49,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,1,49.54899035643881,39.34572966061058,20.592267617219633
50,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,2,39.83483403484469,21.045074324684318,47.16916780354707
51,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,3,34.94379029250359,19.48265757365869,44.2457231726283
52,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,4,30.161436411103416,19.088656827747883,36.71171171171171
53,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,5,36.16655122808887,33.897650380947304,6.273478587528182
54,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,6,41.6689754382226,22.362938888592893,46.331920443430064
55,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,7,50.73099259417124,32.89226916724386,35.16336368505624
56,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,8,33.897650380947304,27.634397144227183,18.476953907815627
57,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,9,25.283978901379935,17.87948212478022,29.285330467490606
58,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,11,53.80148116575204,26.370877510789068,50.98484848484848
59,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,12,27.552879748521498,21.30321274441899,22.682445759368836
60,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,13,39.08759124087591,26.24860141723054,32.846715328467155
61,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,14,39.11476370611114,28.897916777665298,26.12018061827024
62,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,15,24.686184666204912,15.325270392668763,37.91964777105118
63,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,16,42.38904576695615,36.92738025467526,12.884615384615383
64,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,17,30.392402365602855,18.273482870691033,39.87483236477425
65,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,18,51.5597527838457,43.74766902871757,15.151515151515149
66,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,19,57.02141829612659,31.22116255527732,45.246604717655465
67,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,20,26.819223187170333,12.54009270605786,53.24214792299898
68,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,21,27.974052959667535,21.860248281741168,21.85526954832443
69,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,22,31.95481911662848,28.694123288401087,10.204081632653056
70,IRE_Random_15,IRE,Random,15,a58f8f1bd61094b3ff2c92c2a4f65876,23,26.927913048111247,15.080718205551708,43.99596367305752
71,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,0,65.67584847354681,49.39954179764505,24.782788580885402
72,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,1,34.30523735947573,15.719271138579572,54.178217821782184
73,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,2,47.94581490756034,32.78357930630295,31.62368943043355
74,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,3,41.6689754382226,28.24577761201982,32.21388979458755
75,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,4,56.05679578027598,27.52570728328627,50.89675230247212
76,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,5,30.40598859822047,26.194256486760082,13.851653261840935
77,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,6,39.57669561511002,29.223986360488038,26.15859938208033
78,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,7,45.690500293036386,33.20475251744899,27.326791555159076
79,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,8,36.71000053279344,17.21375672651713,53.10880829015544
80,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,9,71.50434226650327,61.4505301294688,14.060421812654377
81,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,10,32.362406095156906,17.662102402898395,45.424013434089005
82,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,11,29.78102189781022,20.882039533272952,29.881386861313864
83,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,12,30.188608876338645,24.45521871170547,18.991899189919
84,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,13,30.446747296073312,22.593904843092332,25.792057117358326
85,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,14,52.78251371943097,33.68027065906548,36.19047619047619
86,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,15,62.07549682987906,49.41312803026267,20.398336616327423
87,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,16,62.224945388672815,56.95348713303852,8.47161572052402
88,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,17,34.76716926847461,29.94405668922159,13.872606486908943
89,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,18,70.92013426394587,37.851244072673026,46.628352490421456
90,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,19,57.86376471841867,51.15216580531728,11.598966893637003
91,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,20,66.16495284778091,45.690500293036386,30.944558521560573
92,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,21,46.47850178485801,39.794075336991845,14.381759719380305
93,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,22,31.112472694336407,30.3380574351324,2.4890829694323213
94,IRE_Random_15,IRE,Random,15,27c00ec2b6ec279958e80128fd34c2b1,23,45.55463796686025,28.87074431243007,36.623918878616166
95,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,0,19.53700250412915,6.6300815173957055,66.06397774687065
