Loss type,Loss value,Loss index,Type,Mask Size
EncoderDecoder/EpochLoss,1.3324881522236645,154,Train,10-40
Refiner/EpochLoss,0.9922386516590376,154,Train,10-40
EncoderDecoder/EpochLoss,1.1779844692429982,155,Train,10-40
Refiner/EpochLoss,0.8544985124388257,155,Train,10-40
EncoderDecoder/EpochLoss,1.1483780500051135,156,Train,10-40
Refiner/EpochLoss,0.8121436822253305,156,Train,10-40
EncoderDecoder/EpochLoss,1.1085798784687713,157,Train,10-40
Refiner/EpochLoss,0.7639931065810693,157,Train,10-40
EncoderDecoder/EpochLoss,1.0860006555512145,158,Train,10-40
Refiner/EpochLoss,0.7329055542075956,158,Train,10-40
EncoderDecoder/EpochLoss,1.094154972079638,159,Train,10-40
Refiner/EpochLoss,0.73770424804172,159,Train,10-40
EncoderDecoder/EpochLoss,1.0721666510846164,160,Train,10-40
Refiner/EpochLoss,0.7067621930225475,160,Train,10-40
EncoderDecoder/EpochLoss,1.0657711186119028,161,Train,10-40
Refiner/EpochLoss,0.6972883162466256,161,Train,10-40
EncoderDecoder/EpochLoss,1.0642268472426646,162,Train,10-40
Refiner/EpochLoss,0.6915244822566574,162,Train,10-40
EncoderDecoder/EpochLoss,1.0554395817421578,163,Train,10-40
Refiner/EpochLoss,0.6857348267693777,163,Train,10-40
EncoderDecoder/EpochLoss,1.0453192688323356,164,Train,10-40
Refiner/EpochLoss,0.6675807749097412,164,Train,10-40
EncoderDecoder/EpochLoss,1.786072978416961,154,Validation,10-40
Refiner/EpochLoss,1.726510760395002,154,Validation,10-40
Refiner/IoU,0.5021091913185365,154,Validation,10-40
EncoderDecoder/EpochLoss,1.6969896267928966,155,Validation,10-40
Refiner/EpochLoss,1.67808437324301,155,Validation,10-40
Refiner/IoU,0.5146522266649953,155,Validation,10-40
EncoderDecoder/EpochLoss,1.683276788742891,156,Validation,10-40
Refiner/EpochLoss,1.6471099333295618,156,Validation,10-40
Refiner/IoU,0.520802079101521,156,Validation,10-40
EncoderDecoder/EpochLoss,1.6644411301639266,157,Validation,10-40
